Lfd_Nr,Sat_head_indicator,Sat_indicator,Sat_unit
192,Emissions (EDGAR),'c2f6_1A4b_EDGAR_consistent',kilotonnes
193,Emissions (EDGAR),'c2f6_1A4ci_EDGAR_consistent',kilotonnes
194,Emissions (EDGAR),'c2f6_1A4cii_EDGAR_consistent',kilotonnes
195,Emissions (EDGAR),'c2f6_1A4ciii_EDGAR_consistent',kilotonnes
196,Emissions (EDGAR),'c2f6_1A5_EDGAR_consistent',kilotonnes
197,Emissions (EDGAR),'c2f6_1B1_EDGAR_consistent',kilotonnes
198,Emissions (EDGAR),'c2f6_1B2_EDGAR_consistent',kilotonnes
199,Emissions (EDGAR),'c2f6_2A1_EDGAR_consistent',kilotonnes
200,Emissions (EDGAR),'c2f6_2A2_EDGAR_consistent',kilotonnes
201,Emissions (EDGAR),'c2f6_2A3_EDGAR_consistent',kilotonnes
202,Emissions (EDGAR),'c2f6_2A4_EDGAR_consistent',kilotonnes
203,Emissions (EDGAR),'c2f6_2B_EDGAR_consistent',kilotonnes
204,Emissions (EDGAR),'c2f6_2C_EDGAR_consistent',kilotonnes
205,Emissions (EDGAR),'c2f6_2D_EDGAR_consistent',kilotonnes
206,Emissions (EDGAR),'c2f6_2E_EDGAR_consistent',kilotonnes
207,Emissions (EDGAR),'c2f6_2F_EDGAR_consistent',kilotonnes
208,Emissions (EDGAR),'c2f6_2G_EDGAR_consistent',kilotonnes
209,Emissions (EDGAR),'c2f6_2H_EDGAR_consistent',kilotonnes
210,Emissions (EDGAR),'c2f6_3A1_EDGAR_consistent',kilotonnes
211,Emissions (EDGAR),'c2f6_3A2_EDGAR_consistent',kilotonnes
212,Emissions (EDGAR),'c2f6_3B1_EDGAR_consistent',kilotonnes
213,Emissions (EDGAR),'c2f6_3B2_EDGAR_consistent',kilotonnes
214,Emissions (EDGAR),'c2f6_3B3_EDGAR_consistent',kilotonnes
215,Emissions (EDGAR),'c2f6_3B4&6_EDGAR_consistent',kilotonnes
216,Emissions (EDGAR),'c2f6_3B5_EDGAR_consistent',kilotonnes
217,Emissions (EDGAR),'c2f6_3C1_EDGAR_consistent',kilotonnes
218,Emissions (EDGAR),'c2f6_3C1a_EDGAR_consistent',kilotonnes
219,Emissions (EDGAR),'c2f6_3C1b_EDGAR_consistent',kilotonnes
220,Emissions (EDGAR),'c2f6_3C1c_EDGAR_consistent',kilotonnes
221,Emissions (EDGAR),'c2f6_3C1d_EDGAR_consistent',kilotonnes
222,Emissions (EDGAR),'c2f6_3C2_EDGAR_consistent',kilotonnes
223,Emissions (EDGAR),'c2f6_3C3_EDGAR_consistent',kilotonnes
224,Emissions (EDGAR),'c2f6_3C4_EDGAR_consistent',kilotonnes
225,Emissions (EDGAR),'c2f6_3C5_EDGAR_consistent',kilotonnes
226,Emissions (EDGAR),'c2f6_3C6_EDGAR_consistent',kilotonnes
227,Emissions (EDGAR),'c2f6_3C7_EDGAR_consistent',kilotonnes
228,Emissions (EDGAR),'c2f6_3C8_EDGAR_consistent',kilotonnes
229,Emissions (EDGAR),'c2f6_4A_EDGAR_consistent',kilotonnes
230,Emissions (EDGAR),'c2f6_4B_EDGAR_consistent',kilotonnes
231,Emissions (EDGAR),'c2f6_4C_EDGAR_consistent',kilotonnes
232,Emissions (EDGAR),'c2f6_4D_EDGAR_consistent',kilotonnes
233,Emissions (EDGAR),'c2f6_4E_EDGAR_consistent',kilotonnes
234,Emissions (EDGAR),'c2f6_5B_EDGAR_consistent',kilotonnes
235,Emissions (EDGAR),'c2f6_5A_EDGAR_consistent',kilotonnes
236,Emissions (EDGAR),'c3f8_total_EDGAR_consistent',kilotonnes
237,Emissions (EDGAR),'c3f8_1A1a_EDGAR_consistent',kilotonnes
238,Emissions (EDGAR),'c3f8_1A1bc_EDGAR_consistent',kilotonnes
239,Emissions (EDGAR),'c3f8_1A1b_EDGAR_consistent',kilotonnes
240,Emissions (EDGAR),'c3f8_1A1ci_EDGAR_consistent',kilotonnes
241,Emissions (EDGAR),'c3f8_1A1cii_EDGAR_consistent',kilotonnes
242,Emissions (EDGAR),'c3f8_1A2_EDGAR_consistent',kilotonnes
243,Emissions (EDGAR),'c3f8_1A2a_EDGAR_consistent',kilotonnes
244,Emissions (EDGAR),'c3f8_1A2b_EDGAR_consistent',kilotonnes
245,Emissions (EDGAR),'c3f8_1A2c_EDGAR_consistent',kilotonnes
246,Emissions (EDGAR),'c3f8_1A2d_EDGAR_consistent',kilotonnes
247,Emissions (EDGAR),'c3f8_1A2e_EDGAR_consistent',kilotonnes
248,Emissions (EDGAR),'c3f8_1A2f_EDGAR_consistent',kilotonnes
249,Emissions (EDGAR),'c3f8_1A2g_EDGAR_consistent',kilotonnes
250,Emissions (EDGAR),'c3f8_1A2h_EDGAR_consistent',kilotonnes
251,Emissions (EDGAR),'c3f8_1A2i_EDGAR_consistent',kilotonnes
252,Emissions (EDGAR),'c3f8_1A2j_EDGAR_consistent',kilotonnes
253,Emissions (EDGAR),'c3f8_1A2k_EDGAR_consistent',kilotonnes
254,Emissions (EDGAR),'c3f8_1A2l_EDGAR_consistent',kilotonnes
255,Emissions (EDGAR),'c3f8_1A2m_EDGAR_consistent',kilotonnes
256,Emissions (EDGAR),'c3f8_1A3b_EDGAR_consistent',kilotonnes
257,Emissions (EDGAR),'c3f8_1A3b_noRES_EDGAR_consistent',kilotonnes
258,Emissions (EDGAR),'c3f8_1A3b_RES_EDGAR_consistent',kilotonnes
259,Emissions (EDGAR),'c3f8_1A3a_EDGAR_consistent',kilotonnes
260,Emissions (EDGAR),'c3f8_1A3c_EDGAR_consistent',kilotonnes
261,Emissions (EDGAR),'c3f8_1A3d_EDGAR_consistent',kilotonnes
262,Emissions (EDGAR),'c3f8_1A3e_EDGAR_consistent',kilotonnes
263,Emissions (EDGAR),'c3f8_1A4_EDGAR_consistent',kilotonnes
264,Emissions (EDGAR),'c3f8_1A4a_EDGAR_consistent',kilotonnes
265,Emissions (EDGAR),'c3f8_1A4b_EDGAR_consistent',kilotonnes
266,Emissions (EDGAR),'c3f8_1A4ci_EDGAR_consistent',kilotonnes
267,Emissions (EDGAR),'c3f8_1A4cii_EDGAR_consistent',kilotonnes
268,Emissions (EDGAR),'c3f8_1A4ciii_EDGAR_consistent',kilotonnes
269,Emissions (EDGAR),'c3f8_1A5_EDGAR_consistent',kilotonnes
270,Emissions (EDGAR),'c3f8_1B1_EDGAR_consistent',kilotonnes
271,Emissions (EDGAR),'c3f8_1B2_EDGAR_consistent',kilotonnes
272,Emissions (EDGAR),'c3f8_2A1_EDGAR_consistent',kilotonnes
273,Emissions (EDGAR),'c3f8_2A2_EDGAR_consistent',kilotonnes
274,Emissions (EDGAR),'c3f8_2A3_EDGAR_consistent',kilotonnes
275,Emissions (EDGAR),'c3f8_2A4_EDGAR_consistent',kilotonnes
276,Emissions (EDGAR),'c3f8_2B_EDGAR_consistent',kilotonnes
277,Emissions (EDGAR),'c3f8_2C_EDGAR_consistent',kilotonnes
278,Emissions (EDGAR),'c3f8_2D_EDGAR_consistent',kilotonnes
279,Emissions (EDGAR),'c3f8_2E_EDGAR_consistent',kilotonnes
280,Emissions (EDGAR),'c3f8_2F_EDGAR_consistent',kilotonnes
281,Emissions (EDGAR),'c3f8_2G_EDGAR_consistent',kilotonnes
282,Emissions (EDGAR),'c3f8_2H_EDGAR_consistent',kilotonnes
283,Emissions (EDGAR),'c3f8_3A1_EDGAR_consistent',kilotonnes
284,Emissions (EDGAR),'c3f8_3A2_EDGAR_consistent',kilotonnes
285,Emissions (EDGAR),'c3f8_3B1_EDGAR_consistent',kilotonnes
286,Emissions (EDGAR),'c3f8_3B2_EDGAR_consistent',kilotonnes
287,Emissions (EDGAR),'c3f8_3B3_EDGAR_consistent',kilotonnes
288,Emissions (EDGAR),'c3f8_3B4&6_EDGAR_consistent',kilotonnes
289,Emissions (EDGAR),'c3f8_3B5_EDGAR_consistent',kilotonnes
290,Emissions (EDGAR),'c3f8_3C1_EDGAR_consistent',kilotonnes
291,Emissions (EDGAR),'c3f8_3C1a_EDGAR_consistent',kilotonnes
292,Emissions (EDGAR),'c3f8_3C1b_EDGAR_consistent',kilotonnes
293,Emissions (EDGAR),'c3f8_3C1c_EDGAR_consistent',kilotonnes
294,Emissions (EDGAR),'c3f8_3C1d_EDGAR_consistent',kilotonnes
295,Emissions (EDGAR),'c3f8_3C2_EDGAR_consistent',kilotonnes
296,Emissions (EDGAR),'c3f8_3C3_EDGAR_consistent',kilotonnes
297,Emissions (EDGAR),'c3f8_3C4_EDGAR_consistent',kilotonnes
298,Emissions (EDGAR),'c3f8_3C5_EDGAR_consistent',kilotonnes
299,Emissions (EDGAR),'c3f8_3C6_EDGAR_consistent',kilotonnes
300,Emissions (EDGAR),'c3f8_3C7_EDGAR_consistent',kilotonnes
301,Emissions (EDGAR),'c3f8_3C8_EDGAR_consistent',kilotonnes
302,Emissions (EDGAR),'c3f8_4A_EDGAR_consistent',kilotonnes
303,Emissions (EDGAR),'c3f8_4B_EDGAR_consistent',kilotonnes
304,Emissions (EDGAR),'c3f8_4C_EDGAR_consistent',kilotonnes
305,Emissions (EDGAR),'c3f8_4D_EDGAR_consistent',kilotonnes
306,Emissions (EDGAR),'c3f8_4E_EDGAR_consistent',kilotonnes
307,Emissions (EDGAR),'c3f8_5B_EDGAR_consistent',kilotonnes
308,Emissions (EDGAR),'c3f8_5A_EDGAR_consistent',kilotonnes
309,Emissions (EDGAR),'c4f10_total_EDGAR_consistent',kilotonnes
310,Emissions (EDGAR),'c4f10_1A1a_EDGAR_consistent',kilotonnes
311,Emissions (EDGAR),'c4f10_1A1bc_EDGAR_consistent',kilotonnes
312,Emissions (EDGAR),'c4f10_1A1b_EDGAR_consistent',kilotonnes
313,Emissions (EDGAR),'c4f10_1A1ci_EDGAR_consistent',kilotonnes
314,Emissions (EDGAR),'c4f10_1A1cii_EDGAR_consistent',kilotonnes
315,Emissions (EDGAR),'c4f10_1A2_EDGAR_consistent',kilotonnes
316,Emissions (EDGAR),'c4f10_1A2a_EDGAR_consistent',kilotonnes
317,Emissions (EDGAR),'c4f10_1A2b_EDGAR_consistent',kilotonnes
318,Emissions (EDGAR),'c4f10_1A2c_EDGAR_consistent',kilotonnes
319,Emissions (EDGAR),'c4f10_1A2d_EDGAR_consistent',kilotonnes
320,Emissions (EDGAR),'c4f10_1A2e_EDGAR_consistent',kilotonnes
321,Emissions (EDGAR),'c4f10_1A2f_EDGAR_consistent',kilotonnes
322,Emissions (EDGAR),'c4f10_1A2g_EDGAR_consistent',kilotonnes
323,Emissions (EDGAR),'c4f10_1A2h_EDGAR_consistent',kilotonnes
324,Emissions (EDGAR),'c4f10_1A2i_EDGAR_consistent',kilotonnes
325,Emissions (EDGAR),'c4f10_1A2j_EDGAR_consistent',kilotonnes
326,Emissions (EDGAR),'c4f10_1A2k_EDGAR_consistent',kilotonnes
327,Emissions (EDGAR),'c4f10_1A2l_EDGAR_consistent',kilotonnes
328,Emissions (EDGAR),'c4f10_1A2m_EDGAR_consistent',kilotonnes
329,Emissions (EDGAR),'c4f10_1A3b_EDGAR_consistent',kilotonnes
330,Emissions (EDGAR),'c4f10_1A3b_noRES_EDGAR_consistent',kilotonnes
331,Emissions (EDGAR),'c4f10_1A3b_RES_EDGAR_consistent',kilotonnes
332,Emissions (EDGAR),'c4f10_1A3a_EDGAR_consistent',kilotonnes
333,Emissions (EDGAR),'c4f10_1A3c_EDGAR_consistent',kilotonnes
334,Emissions (EDGAR),'c4f10_1A3d_EDGAR_consistent',kilotonnes
335,Emissions (EDGAR),'c4f10_1A3e_EDGAR_consistent',kilotonnes
336,Emissions (EDGAR),'c4f10_1A4_EDGAR_consistent',kilotonnes
337,Emissions (EDGAR),'c4f10_1A4a_EDGAR_consistent',kilotonnes
338,Emissions (EDGAR),'c4f10_1A4b_EDGAR_consistent',kilotonnes
339,Emissions (EDGAR),'c4f10_1A4ci_EDGAR_consistent',kilotonnes
340,Emissions (EDGAR),'c4f10_1A4cii_EDGAR_consistent',kilotonnes
341,Emissions (EDGAR),'c4f10_1A4ciii_EDGAR_consistent',kilotonnes
342,Emissions (EDGAR),'c4f10_1A5_EDGAR_consistent',kilotonnes
343,Emissions (EDGAR),'c4f10_1B1_EDGAR_consistent',kilotonnes
344,Emissions (EDGAR),'c4f10_1B2_EDGAR_consistent',kilotonnes
345,Emissions (EDGAR),'c4f10_2A1_EDGAR_consistent',kilotonnes
346,Emissions (EDGAR),'c4f10_2A2_EDGAR_consistent',kilotonnes
347,Emissions (EDGAR),'c4f10_2A3_EDGAR_consistent',kilotonnes
348,Emissions (EDGAR),'c4f10_2A4_EDGAR_consistent',kilotonnes
349,Emissions (EDGAR),'c4f10_2B_EDGAR_consistent',kilotonnes
350,Emissions (EDGAR),'c4f10_2C_EDGAR_consistent',kilotonnes
351,Emissions (EDGAR),'c4f10_2D_EDGAR_consistent',kilotonnes
352,Emissions (EDGAR),'c4f10_2E_EDGAR_consistent',kilotonnes
353,Emissions (EDGAR),'c4f10_2F_EDGAR_consistent',kilotonnes
354,Emissions (EDGAR),'c4f10_2G_EDGAR_consistent',kilotonnes
355,Emissions (EDGAR),'c4f10_2H_EDGAR_consistent',kilotonnes
356,Emissions (EDGAR),'c4f10_3A1_EDGAR_consistent',kilotonnes
357,Emissions (EDGAR),'c4f10_3A2_EDGAR_consistent',kilotonnes
358,Emissions (EDGAR),'c4f10_3B1_EDGAR_consistent',kilotonnes
359,Emissions (EDGAR),'c4f10_3B2_EDGAR_consistent',kilotonnes
360,Emissions (EDGAR),'c4f10_3B3_EDGAR_consistent',kilotonnes
361,Emissions (EDGAR),'c4f10_3B4&6_EDGAR_consistent',kilotonnes
362,Emissions (EDGAR),'c4f10_3B5_EDGAR_consistent',kilotonnes
363,Emissions (EDGAR),'c4f10_3C1_EDGAR_consistent',kilotonnes
364,Emissions (EDGAR),'c4f10_3C1a_EDGAR_consistent',kilotonnes
365,Emissions (EDGAR),'c4f10_3C1b_EDGAR_consistent',kilotonnes
366,Emissions (EDGAR),'c4f10_3C1c_EDGAR_consistent',kilotonnes
367,Emissions (EDGAR),'c4f10_3C1d_EDGAR_consistent',kilotonnes
368,Emissions (EDGAR),'c4f10_3C2_EDGAR_consistent',kilotonnes
369,Emissions (EDGAR),'c4f10_3C3_EDGAR_consistent',kilotonnes
