Lfd_Nr,Sat_head_indicator,Sat_indicator,Sat_unit
2961,Emissions (OECD),'c2f6_1A3a_OECD_consistent',kilotonnes
2962,Emissions (OECD),'c2f6_1A3c_OECD_consistent',kilotonnes
2963,Emissions (OECD),'c2f6_1A3d_OECD_consistent',kilotonnes
2964,Emissions (OECD),'c2f6_1A3e_OECD_consistent',kilotonnes
2965,Emissions (OECD),'c2f6_1A4_OECD_consistent',kilotonnes
2966,Emissions (OECD),'c2f6_1A4a_OECD_consistent',kilotonnes
2967,Emissions (OECD),'c2f6_1A4b_OECD_consistent',kilotonnes
2968,Emissions (OECD),'c2f6_1A4ci_OECD_consistent',kilotonnes
2969,Emissions (OECD),'c2f6_1A4cii_OECD_consistent',kilotonnes
2970,Emissions (OECD),'c2f6_1A4ciii_OECD_consistent',kilotonnes
2971,Emissions (OECD),'c2f6_1A5_OECD_consistent',kilotonnes
2972,Emissions (OECD),'c2f6_1B1_OECD_consistent',kilotonnes
2973,Emissions (OECD),'c2f6_1B2_OECD_consistent',kilotonnes
2974,Emissions (OECD),'c2f6_2A1_OECD_consistent',kilotonnes
2975,Emissions (OECD),'c2f6_2A2_OECD_consistent',kilotonnes
2976,Emissions (OECD),'c2f6_2A3_OECD_consistent',kilotonnes
2977,Emissions (OECD),'c2f6_2A4_OECD_consistent',kilotonnes
2978,Emissions (OECD),'c2f6_2B_OECD_consistent',kilotonnes
2979,Emissions (OECD),'c2f6_2C_OECD_consistent',kilotonnes
2980,Emissions (OECD),'c2f6_2D_OECD_consistent',kilotonnes
2981,Emissions (OECD),'c2f6_2E_OECD_consistent',kilotonnes
2982,Emissions (OECD),'c2f6_2F_OECD_consistent',kilotonnes
2983,Emissions (OECD),'c2f6_2G_OECD_consistent',kilotonnes
2984,Emissions (OECD),'c2f6_2H_OECD_consistent',kilotonnes
2985,Emissions (OECD),'c2f6_3A1_OECD_consistent',kilotonnes
2986,Emissions (OECD),'c2f6_3A2_OECD_consistent',kilotonnes
2987,Emissions (OECD),'c2f6_3B1_OECD_consistent',kilotonnes
2988,Emissions (OECD),'c2f6_3B2_OECD_consistent',kilotonnes
2989,Emissions (OECD),'c2f6_3B3_OECD_consistent',kilotonnes
2990,Emissions (OECD),'c2f6_3B4&6_OECD_consistent',kilotonnes
2991,Emissions (OECD),'c2f6_3B5_OECD_consistent',kilotonnes
2992,Emissions (OECD),'c2f6_3C1_OECD_consistent',kilotonnes
2993,Emissions (OECD),'c2f6_3C1a_OECD_consistent',kilotonnes
2994,Emissions (OECD),'c2f6_3C1b_OECD_consistent',kilotonnes
2995,Emissions (OECD),'c2f6_3C1c_OECD_consistent',kilotonnes
2996,Emissions (OECD),'c2f6_3C1d_OECD_consistent',kilotonnes
2997,Emissions (OECD),'c2f6_3C2_OECD_consistent',kilotonnes
2998,Emissions (OECD),'c2f6_3C3_OECD_consistent',kilotonnes
2999,Emissions (OECD),'c2f6_3C4_OECD_consistent',kilotonnes
3000,Emissions (OECD),'c2f6_3C5_OECD_consistent',kilotonnes
3001,Emissions (OECD),'c2f6_3C6_OECD_consistent',kilotonnes
3002,Emissions (OECD),'c2f6_3C7_OECD_consistent',kilotonnes
3003,Emissions (OECD),'c2f6_3C8_OECD_consistent',kilotonnes
3004,Emissions (OECD),'c2f6_4A_OECD_consistent',kilotonnes
3005,Emissions (OECD),'c2f6_4B_OECD_consistent',kilotonnes
3006,Emissions (OECD),'c2f6_4C_OECD_consistent',kilotonnes
3007,Emissions (OECD),'c2f6_4D_OECD_consistent',kilotonnes
3008,Emissions (OECD),'c2f6_4E_OECD_consistent',kilotonnes
3009,Emissions (OECD),'c2f6_5B_OECD_consistent',kilotonnes
3010,Emissions (OECD),'c2f6_5A_OECD_consistent',kilotonnes
3011,Emissions (OECD),'c3f8_total_OECD_consistent',kilotonnes
3012,Emissions (OECD),'c3f8_1A1a_OECD_consistent',kilotonnes
3013,Emissions (OECD),'c3f8_1A1bc_OECD_consistent',kilotonnes
3014,Emissions (OECD),'c3f8_1A1b_OECD_consistent',kilotonnes
3015,Emissions (OECD),'c3f8_1A1ci_OECD_consistent',kilotonnes
3016,Emissions (OECD),'c3f8_1A1cii_OECD_consistent',kilotonnes
3017,Emissions (OECD),'c3f8_1A2_OECD_consistent',kilotonnes
3018,Emissions (OECD),'c3f8_1A2a_OECD_consistent',kilotonnes
3019,Emissions (OECD),'c3f8_1A2b_OECD_consistent',kilotonnes
3020,Emissions (OECD),'c3f8_1A2c_OECD_consistent',kilotonnes
3021,Emissions (OECD),'c3f8_1A2d_OECD_consistent',kilotonnes
3022,Emissions (OECD),'c3f8_1A2e_OECD_consistent',kilotonnes
3023,Emissions (OECD),'c3f8_1A2f_OECD_consistent',kilotonnes
3024,Emissions (OECD),'c3f8_1A2g_OECD_consistent',kilotonnes
3025,Emissions (OECD),'c3f8_1A2h_OECD_consistent',kilotonnes
3026,Emissions (OECD),'c3f8_1A2i_OECD_consistent',kilotonnes
3027,Emissions (OECD),'c3f8_1A2j_OECD_consistent',kilotonnes
3028,Emissions (OECD),'c3f8_1A2k_OECD_consistent',kilotonnes
3029,Emissions (OECD),'c3f8_1A2l_OECD_consistent',kilotonnes
3030,Emissions (OECD),'c3f8_1A2m_OECD_consistent',kilotonnes
3031,Emissions (OECD),'c3f8_1A3b_OECD_consistent',kilotonnes
3032,Emissions (OECD),'c3f8_1A3b_noRES_OECD_consistent',kilotonnes
3033,Emissions (OECD),'c3f8_1A3b_RES_OECD_consistent',kilotonnes
3034,Emissions (OECD),'c3f8_1A3a_OECD_consistent',kilotonnes
3035,Emissions (OECD),'c3f8_1A3c_OECD_consistent',kilotonnes
3036,Emissions (OECD),'c3f8_1A3d_OECD_consistent',kilotonnes
3037,Emissions (OECD),'c3f8_1A3e_OECD_consistent',kilotonnes
3038,Emissions (OECD),'c3f8_1A4_OECD_consistent',kilotonnes
3039,Emissions (OECD),'c3f8_1A4a_OECD_consistent',kilotonnes
3040,Emissions (OECD),'c3f8_1A4b_OECD_consistent',kilotonnes
3041,Emissions (OECD),'c3f8_1A4ci_OECD_consistent',kilotonnes
3042,Emissions (OECD),'c3f8_1A4cii_OECD_consistent',kilotonnes
3043,Emissions (OECD),'c3f8_1A4ciii_OECD_consistent',kilotonnes
3044,Emissions (OECD),'c3f8_1A5_OECD_consistent',kilotonnes
3045,Emissions (OECD),'c3f8_1B1_OECD_consistent',kilotonnes
3046,Emissions (OECD),'c3f8_1B2_OECD_consistent',kilotonnes
3047,Emissions (OECD),'c3f8_2A1_OECD_consistent',kilotonnes
3048,Emissions (OECD),'c3f8_2A2_OECD_consistent',kilotonnes
3049,Emissions (OECD),'c3f8_2A3_OECD_consistent',kilotonnes
3050,Emissions (OECD),'c3f8_2A4_OECD_consistent',kilotonnes
3051,Emissions (OECD),'c3f8_2B_OECD_consistent',kilotonnes
3052,Emissions (OECD),'c3f8_2C_OECD_consistent',kilotonnes
3053,Emissions (OECD),'c3f8_2D_OECD_consistent',kilotonnes
3054,Emissions (OECD),'c3f8_2E_OECD_consistent',kilotonnes
3055,Emissions (OECD),'c3f8_2F_OECD_consistent',kilotonnes
3056,Emissions (OECD),'c3f8_2G_OECD_consistent',kilotonnes
3057,Emissions (OECD),'c3f8_2H_OECD_consistent',kilotonnes
3058,Emissions (OECD),'c3f8_3A1_OECD_consistent',kilotonnes
3059,Emissions (OECD),'c3f8_3A2_OECD_consistent',kilotonnes
3060,Emissions (OECD),'c3f8_3B1_OECD_consistent',kilotonnes
3061,Emissions (OECD),'c3f8_3B2_OECD_consistent',kilotonnes
3062,Emissions (OECD),'c3f8_3B3_OECD_consistent',kilotonnes
3063,Emissions (OECD),'c3f8_3B4&6_OECD_consistent',kilotonnes
3064,Emissions (OECD),'c3f8_3B5_OECD_consistent',kilotonnes
3065,Emissions (OECD),'c3f8_3C1_OECD_consistent',kilotonnes
3066,Emissions (OECD),'c3f8_3C1a_OECD_consistent',kilotonnes
3067,Emissions (OECD),'c3f8_3C1b_OECD_consistent',kilotonnes
3068,Emissions (OECD),'c3f8_3C1c_OECD_consistent',kilotonnes
3069,Emissions (OECD),'c3f8_3C1d_OECD_consistent',kilotonnes
3070,Emissions (OECD),'c3f8_3C2_OECD_consistent',kilotonnes
3071,Emissions (OECD),'c3f8_3C3_OECD_consistent',kilotonnes
3072,Emissions (OECD),'c3f8_3C4_OECD_consistent',kilotonnes
3073,Emissions (OECD),'c3f8_3C5_OECD_consistent',kilotonnes
3074,Emissions (OECD),'c3f8_3C6_OECD_consistent',kilotonnes
3075,Emissions (OECD),'c3f8_3C7_OECD_consistent',kilotonnes
3076,Emissions (OECD),'c3f8_3C8_OECD_consistent',kilotonnes
3077,Emissions (OECD),'c3f8_4A_OECD_consistent',kilotonnes
3078,Emissions (OECD),'c3f8_4B_OECD_consistent',kilotonnes
3079,Emissions (OECD),'c3f8_4C_OECD_consistent',kilotonnes
3080,Emissions (OECD),'c3f8_4D_OECD_consistent',kilotonnes
3081,Emissions (OECD),'c3f8_4E_OECD_consistent',kilotonnes
3082,Emissions (OECD),'c3f8_5B_OECD_consistent',kilotonnes
3083,Emissions (OECD),'c3f8_5A_OECD_consistent',kilotonnes
3084,Emissions (OECD),'c4f10_total_OECD_consistent',kilotonnes
3085,Emissions (OECD),'c4f10_1A1a_OECD_consistent',kilotonnes
3086,Emissions (OECD),'c4f10_1A1bc_OECD_consistent',kilotonnes
3087,Emissions (OECD),'c4f10_1A1b_OECD_consistent',kilotonnes
3088,Emissions (OECD),'c4f10_1A1ci_OECD_consistent',kilotonnes
3089,Emissions (OECD),'c4f10_1A1cii_OECD_consistent',kilotonnes
3090,Emissions (OECD),'c4f10_1A2_OECD_consistent',kilotonnes
3091,Emissions (OECD),'c4f10_1A2a_OECD_consistent',kilotonnes
3092,Emissions (OECD),'c4f10_1A2b_OECD_consistent',kilotonnes
3093,Emissions (OECD),'c4f10_1A2c_OECD_consistent',kilotonnes
3094,Emissions (OECD),'c4f10_1A2d_OECD_consistent',kilotonnes
3095,Emissions (OECD),'c4f10_1A2e_OECD_consistent',kilotonnes
3096,Emissions (OECD),'c4f10_1A2f_OECD_consistent',kilotonnes
3097,Emissions (OECD),'c4f10_1A2g_OECD_consistent',kilotonnes
3098,Emissions (OECD),'c4f10_1A2h_OECD_consistent',kilotonnes
3099,Emissions (OECD),'c4f10_1A2i_OECD_consistent',kilotonnes
3100,Emissions (OECD),'c4f10_1A2j_OECD_consistent',kilotonnes
3101,Emissions (OECD),'c4f10_1A2k_OECD_consistent',kilotonnes
3102,Emissions (OECD),'c4f10_1A2l_OECD_consistent',kilotonnes
3103,Emissions (OECD),'c4f10_1A2m_OECD_consistent',kilotonnes
3104,Emissions (OECD),'c4f10_1A3b_OECD_consistent',kilotonnes
3105,Emissions (OECD),'c4f10_1A3b_noRES_OECD_consistent',kilotonnes
3106,Emissions (OECD),'c4f10_1A3b_RES_OECD_consistent',kilotonnes
3107,Emissions (OECD),'c4f10_1A3a_OECD_consistent',kilotonnes
3108,Emissions (OECD),'c4f10_1A3c_OECD_consistent',kilotonnes
3109,Emissions (OECD),'c4f10_1A3d_OECD_consistent',kilotonnes
3110,Emissions (OECD),'c4f10_1A3e_OECD_consistent',kilotonnes
3111,Emissions (OECD),'c4f10_1A4_OECD_consistent',kilotonnes
3112,Emissions (OECD),'c4f10_1A4a_OECD_consistent',kilotonnes
3113,Emissions (OECD),'c4f10_1A4b_OECD_consistent',kilotonnes
3114,Emissions (OECD),'c4f10_1A4ci_OECD_consistent',kilotonnes
3115,Emissions (OECD),'c4f10_1A4cii_OECD_consistent',kilotonnes
3116,Emissions (OECD),'c4f10_1A4ciii_OECD_consistent',kilotonnes
3117,Emissions (OECD),'c4f10_1A5_OECD_consistent',kilotonnes
3118,Emissions (OECD),'c4f10_1B1_OECD_consistent',kilotonnes
3119,Emissions (OECD),'c4f10_1B2_OECD_consistent',kilotonnes
3120,Emissions (OECD),'c4f10_2A1_OECD_consistent',kilotonnes
3121,Emissions (OECD),'c4f10_2A2_OECD_consistent',kilotonnes
3122,Emissions (OECD),'c4f10_2A3_OECD_consistent',kilotonnes
3123,Emissions (OECD),'c4f10_2A4_OECD_consistent',kilotonnes
3124,Emissions (OECD),'c4f10_2B_OECD_consistent',kilotonnes
3125,Emissions (OECD),'c4f10_2C_OECD_consistent',kilotonnes
3126,Emissions (OECD),'c4f10_2D_OECD_consistent',kilotonnes
3127,Emissions (OECD),'c4f10_2E_OECD_consistent',kilotonnes
3128,Emissions (OECD),'c4f10_2F_OECD_consistent',kilotonnes
3129,Emissions (OECD),'c4f10_2G_OECD_consistent',kilotonnes
3130,Emissions (OECD),'c4f10_2H_OECD_consistent',kilotonnes
3131,Emissions (OECD),'c4f10_3A1_OECD_consistent',kilotonnes
3132,Emissions (OECD),'c4f10_3A2_OECD_consistent',kilotonnes
3133,Emissions (OECD),'c4f10_3B1_OECD_consistent',kilotonnes
3134,Emissions (OECD),'c4f10_3B2_OECD_consistent',kilotonnes
3135,Emissions (OECD),'c4f10_3B3_OECD_consistent',kilotonnes
3136,Emissions (OECD),'c4f10_3B4&6_OECD_consistent',kilotonnes
3137,Emissions (OECD),'c4f10_3B5_OECD_consistent',kilotonnes
3138,Emissions (OECD),'c4f10_3C1_OECD_consistent',kilotonnes
3139,Emissions (OECD),'c4f10_3C1a_OECD_consistent',kilotonnes
3140,Emissions (OECD),'c4f10_3C1b_OECD_consistent',kilotonnes
3141,Emissions (OECD),'c4f10_3C1c_OECD_consistent',kilotonnes
3142,Emissions (OECD),'c4f10_3C1d_OECD_consistent',kilotonnes
3143,Emissions (OECD),'c4f10_3C2_OECD_consistent',kilotonnes
3144,Emissions (OECD),'c4f10_3C3_OECD_consistent',kilotonnes
3145,Emissions (OECD),'c4f10_3C4_OECD_consistent',kilotonnes
3146,Emissions (OECD),'c4f10_3C5_OECD_consistent',kilotonnes
3147,Emissions (OECD),'c4f10_3C6_OECD_consistent',kilotonnes
3148,Emissions (OECD),'c4f10_3C7_OECD_consistent',kilotonnes
3149,Emissions (OECD),'c4f10_3C8_OECD_consistent',kilotonnes
3150,Emissions (OECD),'c4f10_4A_OECD_consistent',kilotonnes
3151,Emissions (OECD),'c4f10_4B_OECD_consistent',kilotonnes
3152,Emissions (OECD),'c4f10_4C_OECD_consistent',kilotonnes
3153,Emissions (OECD),'c4f10_4D_OECD_consistent',kilotonnes
3154,Emissions (OECD),'c4f10_4E_OECD_consistent',kilotonnes
3155,Emissions (OECD),'c4f10_5B_OECD_consistent',kilotonnes
3156,Emissions (OECD),'c4f10_5A_OECD_consistent',kilotonnes
3157,Emissions (OECD),'c5f12_total_OECD_consistent',kilotonnes
3158,Emissions (OECD),'c5f12_1A1a_OECD_consistent',kilotonnes
3159,Emissions (OECD),'c5f12_1A1bc_OECD_consistent',kilotonnes
3160,Emissions (OECD),'c5f12_1A1b_OECD_consistent',kilotonnes
3161,Emissions (OECD),'c5f12_1A1ci_OECD_consistent',kilotonnes
3162,Emissions (OECD),'c5f12_1A1cii_OECD_consistent',kilotonnes
3163,Emissions (OECD),'c5f12_1A2_OECD_consistent',kilotonnes
3164,Emissions (OECD),'c5f12_1A2a_OECD_consistent',kilotonnes
3165,Emissions (OECD),'c5f12_1A2b_OECD_consistent',kilotonnes
3166,Emissions (OECD),'c5f12_1A2c_OECD_consistent',kilotonnes
3167,Emissions (OECD),'c5f12_1A2d_OECD_consistent',kilotonnes
3168,Emissions (OECD),'c5f12_1A2e_OECD_consistent',kilotonnes
3169,Emissions (OECD),'c5f12_1A2f_OECD_consistent',kilotonnes
3170,Emissions (OECD),'c5f12_1A2g_OECD_consistent',kilotonnes
3171,Emissions (OECD),'c5f12_1A2h_OECD_consistent',kilotonnes
3172,Emissions (OECD),'c5f12_1A2i_OECD_consistent',kilotonnes
3173,Emissions (OECD),'c5f12_1A2j_OECD_consistent',kilotonnes
3174,Emissions (OECD),'c5f12_1A2k_OECD_consistent',kilotonnes
3175,Emissions (OECD),'c5f12_1A2l_OECD_consistent',kilotonnes
3176,Emissions (OECD),'c5f12_1A2m_OECD_consistent',kilotonnes
3177,Emissions (OECD),'c5f12_1A3b_OECD_consistent',kilotonnes
3178,Emissions (OECD),'c5f12_1A3b_noRES_OECD_consistent',kilotonnes
3179,Emissions (OECD),'c5f12_1A3b_RES_OECD_consistent',kilotonnes
3180,Emissions (OECD),'c5f12_1A3a_OECD_consistent',kilotonnes
3181,Emissions (OECD),'c5f12_1A3c_OECD_consistent',kilotonnes
3182,Emissions (OECD),'c5f12_1A3d_OECD_consistent',kilotonnes
3183,Emissions (OECD),'c5f12_1A3e_OECD_consistent',kilotonnes
3184,Emissions (OECD),'c5f12_1A4_OECD_consistent',kilotonnes
3185,Emissions (OECD),'c5f12_1A4a_OECD_consistent',kilotonnes
3186,Emissions (OECD),'c5f12_1A4b_OECD_consistent',kilotonnes
3187,Emissions (OECD),'c5f12_1A4ci_OECD_consistent',kilotonnes
3188,Emissions (OECD),'c5f12_1A4cii_OECD_consistent',kilotonnes
3189,Emissions (OECD),'c5f12_1A4ciii_OECD_consistent',kilotonnes
3190,Emissions (OECD),'c5f12_1A5_OECD_consistent',kilotonnes
3191,Emissions (OECD),'c5f12_1B1_OECD_consistent',kilotonnes
3192,Emissions (OECD),'c5f12_1B2_OECD_consistent',kilotonnes
3193,Emissions (OECD),'c5f12_2A1_OECD_consistent',kilotonnes
3194,Emissions (OECD),'c5f12_2A2_OECD_consistent',kilotonnes
3195,Emissions (OECD),'c5f12_2A3_OECD_consistent',kilotonnes
3196,Emissions (OECD),'c5f12_2A4_OECD_consistent',kilotonnes
3197,Emissions (OECD),'c5f12_2B_OECD_consistent',kilotonnes
3198,Emissions (OECD),'c5f12_2C_OECD_consistent',kilotonnes
3199,Emissions (OECD),'c5f12_2D_OECD_consistent',kilotonnes
3200,Emissions (OECD),'c5f12_2E_OECD_consistent',kilotonnes
3201,Emissions (OECD),'c5f12_2F_OECD_consistent',kilotonnes
3202,Emissions (OECD),'c5f12_2G_OECD_consistent',kilotonnes
3203,Emissions (OECD),'c5f12_2H_OECD_consistent',kilotonnes
3204,Emissions (OECD),'c5f12_3A1_OECD_consistent',kilotonnes
3205,Emissions (OECD),'c5f12_3A2_OECD_consistent',kilotonnes
3206,Emissions (OECD),'c5f12_3B1_OECD_consistent',kilotonnes
3207,Emissions (OECD),'c5f12_3B2_OECD_consistent',kilotonnes
3208,Emissions (OECD),'c5f12_3B3_OECD_consistent',kilotonnes
3209,Emissions (OECD),'c5f12_3B4&6_OECD_consistent',kilotonnes
3210,Emissions (OECD),'c5f12_3B5_OECD_consistent',kilotonnes
3211,Emissions (OECD),'c5f12_3C1_OECD_consistent',kilotonnes
3212,Emissions (OECD),'c5f12_3C1a_OECD_consistent',kilotonnes
3213,Emissions (OECD),'c5f12_3C1b_OECD_consistent',kilotonnes
3214,Emissions (OECD),'c5f12_3C1c_OECD_consistent',kilotonnes
3215,Emissions (OECD),'c5f12_3C1d_OECD_consistent',kilotonnes
3216,Emissions (OECD),'c5f12_3C2_OECD_consistent',kilotonnes
3217,Emissions (OECD),'c5f12_3C3_OECD_consistent',kilotonnes
3218,Emissions (OECD),'c5f12_3C4_OECD_consistent',kilotonnes
3219,Emissions (OECD),'c5f12_3C5_OECD_consistent',kilotonnes
3220,Emissions (OECD),'c5f12_3C6_OECD_consistent',kilotonnes
3221,Emissions (OECD),'c5f12_3C7_OECD_consistent',kilotonnes
3222,Emissions (OECD),'c5f12_3C8_OECD_consistent',kilotonnes
3223,Emissions (OECD),'c5f12_4A_OECD_consistent',kilotonnes
3224,Emissions (OECD),'c5f12_4B_OECD_consistent',kilotonnes
3225,Emissions (OECD),'c5f12_4C_OECD_consistent',kilotonnes
3226,Emissions (OECD),'c5f12_4D_OECD_consistent',kilotonnes
3227,Emissions (OECD),'c5f12_4E_OECD_consistent',kilotonnes
3228,Emissions (OECD),'c5f12_5B_OECD_consistent',kilotonnes
3229,Emissions (OECD),'c5f12_5A_OECD_consistent',kilotonnes
3230,Emissions (OECD),'c6f14_total_OECD_consistent',kilotonnes
3231,Emissions (OECD),'c6f14_1A1a_OECD_consistent',kilotonnes
3232,Emissions (OECD),'c6f14_1A1bc_OECD_consistent',kilotonnes
3233,Emissions (OECD),'c6f14_1A1b_OECD_consistent',kilotonnes
3234,Emissions (OECD),'c6f14_1A1ci_OECD_consistent',kilotonnes
3235,Emissions (OECD),'c6f14_1A1cii_OECD_consistent',kilotonnes
3236,Emissions (OECD),'c6f14_1A2_OECD_consistent',kilotonnes
3237,Emissions (OECD),'c6f14_1A2a_OECD_consistent',kilotonnes
3238,Emissions (OECD),'c6f14_1A2b_OECD_consistent',kilotonnes
3239,Emissions (OECD),'c6f14_1A2c_OECD_consistent',kilotonnes
3240,Emissions (OECD),'c6f14_1A2d_OECD_consistent',kilotonnes
3241,Emissions (OECD),'c6f14_1A2e_OECD_consistent',kilotonnes
3242,Emissions (OECD),'c6f14_1A2f_OECD_consistent',kilotonnes
3243,Emissions (OECD),'c6f14_1A2g_OECD_consistent',kilotonnes
3244,Emissions (OECD),'c6f14_1A2h_OECD_consistent',kilotonnes
3245,Emissions (OECD),'c6f14_1A2i_OECD_consistent',kilotonnes
3246,Emissions (OECD),'c6f14_1A2j_OECD_consistent',kilotonnes
3247,Emissions (OECD),'c6f14_1A2k_OECD_consistent',kilotonnes
3248,Emissions (OECD),'c6f14_1A2l_OECD_consistent',kilotonnes
3249,Emissions (OECD),'c6f14_1A2m_OECD_consistent',kilotonnes
3250,Emissions (OECD),'c6f14_1A3b_OECD_consistent',kilotonnes
3251,Emissions (OECD),'c6f14_1A3b_noRES_OECD_consistent',kilotonnes
3252,Emissions (OECD),'c6f14_1A3b_RES_OECD_consistent',kilotonnes
3253,Emissions (OECD),'c6f14_1A3a_OECD_consistent',kilotonnes
3254,Emissions (OECD),'c6f14_1A3c_OECD_consistent',kilotonnes
3255,Emissions (OECD),'c6f14_1A3d_OECD_consistent',kilotonnes
3256,Emissions (OECD),'c6f14_1A3e_OECD_consistent',kilotonnes
3257,Emissions (OECD),'c6f14_1A4_OECD_consistent',kilotonnes
3258,Emissions (OECD),'c6f14_1A4a_OECD_consistent',kilotonnes
3259,Emissions (OECD),'c6f14_1A4b_OECD_consistent',kilotonnes
3260,Emissions (OECD),'c6f14_1A4ci_OECD_consistent',kilotonnes
3261,Emissions (OECD),'c6f14_1A4cii_OECD_consistent',kilotonnes
3262,Emissions (OECD),'c6f14_1A4ciii_OECD_consistent',kilotonnes
3263,Emissions (OECD),'c6f14_1A5_OECD_consistent',kilotonnes
3264,Emissions (OECD),'c6f14_1B1_OECD_consistent',kilotonnes
3265,Emissions (OECD),'c6f14_1B2_OECD_consistent',kilotonnes
3266,Emissions (OECD),'c6f14_2A1_OECD_consistent',kilotonnes
3267,Emissions (OECD),'c6f14_2A2_OECD_consistent',kilotonnes
3268,Emissions (OECD),'c6f14_2A3_OECD_consistent',kilotonnes
3269,Emissions (OECD),'c6f14_2A4_OECD_consistent',kilotonnes
3270,Emissions (OECD),'c6f14_2B_OECD_consistent',kilotonnes
3271,Emissions (OECD),'c6f14_2C_OECD_consistent',kilotonnes
3272,Emissions (OECD),'c6f14_2D_OECD_consistent',kilotonnes
3273,Emissions (OECD),'c6f14_2E_OECD_consistent',kilotonnes
3274,Emissions (OECD),'c6f14_2F_OECD_consistent',kilotonnes
3275,Emissions (OECD),'c6f14_2G_OECD_consistent',kilotonnes
3276,Emissions (OECD),'c6f14_2H_OECD_consistent',kilotonnes
3277,Emissions (OECD),'c6f14_3A1_OECD_consistent',kilotonnes
3278,Emissions (OECD),'c6f14_3A2_OECD_consistent',kilotonnes
3279,Emissions (OECD),'c6f14_3B1_OECD_consistent',kilotonnes
3280,Emissions (OECD),'c6f14_3B2_OECD_consistent',kilotonnes
3281,Emissions (OECD),'c6f14_3B3_OECD_consistent',kilotonnes
3282,Emissions (OECD),'c6f14_3B4&6_OECD_consistent',kilotonnes
3283,Emissions (OECD),'c6f14_3B5_OECD_consistent',kilotonnes
3284,Emissions (OECD),'c6f14_3C1_OECD_consistent',kilotonnes
3285,Emissions (OECD),'c6f14_3C1a_OECD_consistent',kilotonnes
3286,Emissions (OECD),'c6f14_3C1b_OECD_consistent',kilotonnes
3287,Emissions (OECD),'c6f14_3C1c_OECD_consistent',kilotonnes
3288,Emissions (OECD),'c6f14_3C1d_OECD_consistent',kilotonnes
3289,Emissions (OECD),'c6f14_3C2_OECD_consistent',kilotonnes
3290,Emissions (OECD),'c6f14_3C3_OECD_consistent',kilotonnes
3291,Emissions (OECD),'c6f14_3C4_OECD_consistent',kilotonnes
3292,Emissions (OECD),'c6f14_3C5_OECD_consistent',kilotonnes
3293,Emissions (OECD),'c6f14_3C6_OECD_consistent',kilotonnes
3294,Emissions (OECD),'c6f14_3C7_OECD_consistent',kilotonnes
3295,Emissions (OECD),'c6f14_3C8_OECD_consistent',kilotonnes
3296,Emissions (OECD),'c6f14_4A_OECD_consistent',kilotonnes
3297,Emissions (OECD),'c6f14_4B_OECD_consistent',kilotonnes
3298,Emissions (OECD),'c6f14_4C_OECD_consistent',kilotonnes
3299,Emissions (OECD),'c6f14_4D_OECD_consistent',kilotonnes
3300,Emissions (OECD),'c6f14_4E_OECD_consistent',kilotonnes
3301,Emissions (OECD),'c6f14_5B_OECD_consistent',kilotonnes
3302,Emissions (OECD),'c6f14_5A_OECD_consistent',kilotonnes
3303,Emissions (OECD),'c6f14_total_OECD_consistent',kilotonnes
3304,Emissions (OECD),'c6f14_1A1a_OECD_consistent',kilotonnes
3305,Emissions (OECD),'c6f14_1A1bc_OECD_consistent',kilotonnes
3306,Emissions (OECD),'c6f14_1A1b_OECD_consistent',kilotonnes
3307,Emissions (OECD),'c6f14_1A1ci_OECD_consistent',kilotonnes
3308,Emissions (OECD),'c6f14_1A1cii_OECD_consistent',kilotonnes
3309,Emissions (OECD),'c6f14_1A2_OECD_consistent',kilotonnes
3310,Emissions (OECD),'c6f14_1A2a_OECD_consistent',kilotonnes
3311,Emissions (OECD),'c6f14_1A2b_OECD_consistent',kilotonnes
3312,Emissions (OECD),'c6f14_1A2c_OECD_consistent',kilotonnes
3313,Emissions (OECD),'c6f14_1A2d_OECD_consistent',kilotonnes
3314,Emissions (OECD),'c6f14_1A2e_OECD_consistent',kilotonnes
3315,Emissions (OECD),'c6f14_1A2f_OECD_consistent',kilotonnes
3316,Emissions (OECD),'c6f14_1A2g_OECD_consistent',kilotonnes
3317,Emissions (OECD),'c6f14_1A2h_OECD_consistent',kilotonnes
3318,Emissions (OECD),'c6f14_1A2i_OECD_consistent',kilotonnes
3319,Emissions (OECD),'c6f14_1A2j_OECD_consistent',kilotonnes
3320,Emissions (OECD),'c6f14_1A2k_OECD_consistent',kilotonnes
3321,Emissions (OECD),'c6f14_1A2l_OECD_consistent',kilotonnes
3322,Emissions (OECD),'c6f14_1A2m_OECD_consistent',kilotonnes
3323,Emissions (OECD),'c6f14_1A3b_OECD_consistent',kilotonnes
3324,Emissions (OECD),'c6f14_1A3b_noRES_OECD_consistent',kilotonnes
3325,Emissions (OECD),'c6f14_1A3b_RES_OECD_consistent',kilotonnes
3326,Emissions (OECD),'c6f14_1A3a_OECD_consistent',kilotonnes
3327,Emissions (OECD),'c6f14_1A3c_OECD_consistent',kilotonnes
3328,Emissions (OECD),'c6f14_1A3d_OECD_consistent',kilotonnes
3329,Emissions (OECD),'c6f14_1A3e_OECD_consistent',kilotonnes
3330,Emissions (OECD),'c6f14_1A4_OECD_consistent',kilotonnes
3331,Emissions (OECD),'c6f14_1A4a_OECD_consistent',kilotonnes
3332,Emissions (OECD),'c6f14_1A4b_OECD_consistent',kilotonnes
